X,Y
93.258,19.982
94.905,21.78
96.118,21.12
96.417,18.966
97.056,15.385
97.78,10.929
98.571,5.879
97.885,2.756
97.546,-0.111
97.679,-1.343
97.456,-0.463
94.596,1.835
93.029,1.502
90.873,1.602
88.203,2.83
87.52,3.743
87.309,4.017
88.156,4.839
89.503,6.67
87.818,8.657
85.772,10.423
86.425,11.89
86.924,14.387
86.125,19.417
84.043,23.589
81.122,27.105
77.866,31.181
74.07,35.444
70.411,39.279
67.117,44.519
65.093,48.331
63.466,51.305
61.489,52.822
57.247,52.705
52.63,52.29
48.785,52.754
44.926,51.707
40.787,52.017
35.705,52.998
29.025,55.206
22.541,58.015
17.043,60.976
15.194,63.465
14.991,64.382
15.788,63.922
17.25,63.88
18.13,63.855
18.562,65.346
18.605,65.299
17.476,65.118
17.666,64.598
20.64,63.849
24.394,62.599
24.326,63.227
24.149,64.696
26.112,64.8
26.35,62.895
25.134,59.896
22.962,58.713
21.311,61.87
20.015,64.992
18.378,65.288
17.15,64.243
17.994,63.262
19.21,61.966
20.204,61.371
22.222,60.118
24.212,59.193
26.495,58.05
29.365,56.423
32.624,54.664
35.562,53.789
38.235,53.387
40.709,52.939
43.134,50.89
45.054,48.665
46.677,46.053
48.464,43.66
50.04,42.252
51.038,40.366
51.963,38.952
52.441,38.249
53.415,37.167
53.586,36.021
54.164,34.412
55.936,33.619
56.568,32.134
56.985,30.539
57.745,30.896
57.941,30.798
57.938,30.191
57.686,29.256
57.628,29.486
58.861,29.418
60.775,28.242
62.526,28.082
64.928,28.204
67.309,28.332
69.346,28.524
71.401,28.614
73.971,28.88
77.139,31.175
78.224,33.615
76.147,38.298
72.587,44.496
69.694,49.858
67.54,53.599
65.538,55.589
63.867,56.134
58.297,56.883
54.123,56.462
52.461,56.306
47.605,55.61
47.889,55.291
50.001,55.339
48.695,53.422
47.785,52.46
47.019,52.607
44.937,50.193
43.168,47.129
41.289,45.053
39.783,43.877
38.185,41.747
36.503,39.721
34.111,37.2
31.291,34.802
27.186,36.231
23.648,34.821
20.565,33.92
19.97,32.874
22.832,30.854
26.35,30.47
28.844,30.947
31.201,31.701
33.812,32.995
35.623,32.192
37.491,32.386
40.092,33.408
42.571,34.933
45.472,35.099
48.58,35.461
51.019,35.228
53.564,33.974
55.738,32.955
57.054,32.559
58.386,31.275
59.202,31.301
60.487,30.384
62.418,29.076
63.331,29.495
64.334,31.543
64.062,32.356
63.038,32.615
61.521,33.315
59.99,32.246
59.128,30.268
58.993,29.728
58.654,29.594
58.424,28.05
57.797,26.53
56.532,26.119
55.472,24.733
54.74,24.353
54.639,22.429
54.623,22.133
55.161,20.273
56.132,18.592
57.107,18.542
58.261,18.504
59.486,18.076
59.13,19.223
56.176,20.745
54.128,22.837
54.163,26.982
52.773,32.358
49.678,40.809
47.594,49.374
45.153,54.398
43.344,57.335
40.061,57.946
37.765,58.824
35.762,59.736
32.891,59.168
29.578,57.675
26.19,55.032
23.577,53.06
20.761,50.585
18.755,48.848
17.968,47.105
18.764,47.673
19.598,47.685
19.18,47.189
20.471,46.24
22.834,47.473
25.43,49.311
28.48,49.324
31.135,47.559
32.363,46.483
32.423,44.97
32.31,45.472
33.027,46.571
34.014,48.34
34.875,51.792
33.278,55.82
33.929,59.976
36.795,63.228
39.165,63.97
39.265,62.235
39.08,59.786
37.899,56.891
36.878,53.997
35.957,50.855
34.125,47.91
32.271,45.088
29.931,45.802
27.591,45.795
25.053,43.98
23.309,42.19
22.008,41.714
21.332,41.834
19.499,44.96
17.296,46.023
15.204,44.56
15.535,45.587
15.784,45.561
15.36,45.16
15.14,44.169
14.767,44.972
14.67,44.351
15.084,45.481
14.979,46.131
13.787,44.059
13.581,43.438
14.214,42.891
15.037,41.37
16.329,41.107
15.85,40.473
15.36,42.438
15.423,42.979
16.126,40.655
17.038,39.565
16.837,39.95
16.11,40.88
15.66,40.741
15.506,39.718
14.68,40.134
14.157,41.906
14.875,41.489
14.894,40.969
14.363,40.636
13.963,40.191
13.98,41.329
13.959,40.196
13.467,41.906
12.836,42.088
13.208,41.391
13.605,41.362
13.375,40.717
13.407,40.33
13.212,40.658
12.883,41.737
12.88,41.585
12.443,42.093
12.432,42.093
12.432,42.093
13.129,40.681
12.764,40.137
13.367,40.425
13.346,40.305
13.455,41.4
13.851,41.672
13.047,41.411
12.842,41.6
13.268,40.563
13.266,40.398
13.972,41.214
13.715,41.101
13.61,40.442
14.419,40.452
13.575,39.921
13.186,38.825
13.784,40.61
14.698,42.65
14.952,43.37
15.185,43.587
14.491,42.794
13.74,42.215
12.745,42.845
13.047,41.893
12.911,41.539
12.373,41.039
11.876,41.053
12.062,41.809
12.466,41.134
12.434,40.587
12.112,40.086
12.819,40.432
11.649,42.099
11.657,42.295
12.487,41.255
12.266,40.6
11.769,39.822
11.249,41.805
11.58,40.681
11.822,40.548
12.175,40.097
12.34,40.172
13.436,40.458
15.522,41.194
18.92,43.905
25.17,44.489
31.541,44.626
36.693,45.478
40.847,46.4
44.439,46.533
47.268,46.029
48.777,44.088
49.878,42.555
51.332,40.998
52.294,39.461
53.412,39.442
54.609,38.735
55.992,37.451
56.867,38.232
56.467,39.335
57.342,39.604
59.693,39.136
59.983,37.086
60.463,37.078
60.399,35.707
60.618,35.364
60.704,38.447
59.789,42.815
59.847,44.385
59.988,44.788
59.488,45.242
58.205,46.295
56.552,46.8
55.855,46.946
55.439,47.401
54.033,46.901
53.069,46.907
52.329,47.829
52.412,48.882
51.969,49.125
49.574,50.514
48.844,51.818
47.157,51.117
44.571,51.405
42.186,49.283
41.15,46.733
39.698,45.575
36.935,44.305
34.461,42.207
32.3,41.017
30.261,39.383
29.249,39.674
26.815,37.898
24.503,38.096
21.461,37.625
20.052,35.804
18.414,35.113
16.202,34.508
15.683,34.844
17.14,36.656
19.743,36.734
23.919,33.769
27.392,34.141
30.447,36.887
33.762,38.154
37.136,38.5
40.083,38.762
42.915,39.669
45.374,39.321
48.513,37.792
51.178,37.122
53.177,35.864
54.833,34.303
56.828,34.118
57.82,33.679
58.919,33.478
59.791,34.143
60.156,33.928
59.643,33.039
58.853,32.392
58.882,32.532
58.946,32.325
59.074,32.175
59.281,32.039
59.273,32.385
59.599,33.018
61.055,33.696
61.566,34.132
62.392,35.669
65.406,38.094
67.919,38.809
69.665,37.726
70.439,36.061
71.634,35.398
73.854,34.024
76.822,34.377
81.505,33.807
86.783,31.686
89.638,29.39
91.306,26.942
92.614,23.04
93.436,19.67
95.268,17.707
97.655,15.121
98.548,12.56
99.245,10.026
100.024,7.587
100.616,6.161
101.001,4.348
101.965,1.818
103.08,0.697
103.503,0.264
102.567,0.091
100.314,0.887
101.671,0.434
102.39,-0.044
101.761,-0.125
101.866,-0.404
101.335,-0.689
102.339,-2.434
102.332,-2.781
100.844,-2.729
101.388,-2.284
101.523,-1.163
103.151,-0.18
103.951,0.298
104.167,-0.294
101.91,0.226
98.972,2.283
97.363,4.025
95.993,6.812
94.971,10.282
93.549,13.749
92.089,16.24
89.624,19.138
88.993,23.034
90.76,25.374
90.174,27.129
88.622,32.441
86.841,35.904
84.701,39.14
82.501,42.422
80.371,44.065
78.326,45.764
75.486,48.574
72.608,51.387
69.899,52.389
68.568,52.799
67.491,53.07
67.073,53.316
65.888,53.079
64.818,52.443
63.646,53.619
64.458,54.047
63.954,54.43
64.236,55.341
63.747,55.35
62.911,54.514
59.255,53.085
56.317,53.261
52.906,51.932
49.912,53.016
47.858,54.631
45.735,55.705
44.424,56.541
43.999,56.835
44.327,56.181
43.961,55.638
43.583,56.01
43.457,56.52
44.251,56.927
46.863,56.814
48.112,57.956
48.339,60.979
49.605,63.461
51.477,64.671
53.881,65.712
56.768,64.186
60.88,61.177
63.984,59.257
65.344,56.792
67.523,54.707
68.675,53.579
69.945,53.301
71.046,52.915
71.521,52.326
72.133,51.941
73.726,49.586
75.139,46.954
76.871,45.328
79.014,42.408
